,title,author,major,tutor,time,url
2947,鞍内压与垂体腺瘤组织构象及前海绵间窦关系探讨,朱斌(硕士),外科学(专业学位),王守森,2020-06-02 14:30,https://gs.xmu.edu.cn/info/1220/8175.htm
2948,高性能聚苯醚导热复合材料的制备与性能研究,傅江铭(硕士),化学工程(专业学位),吐松,2020-06-02 14:30,https://gs.xmu.edu.cn/info/1220/8174.htm
2949,RuO2和IrOx催化剂的制备及其电催化性能探究,吴秋玲(硕士),物理化学,周志有,2020-06-03 14:30,https://gs.xmu.edu.cn/info/1220/8173.htm
2950,基于激光点云与视觉图像融合的园区环境场景理解研究,宋欣怡(硕士),机械工程(专业学位),叶军君,2020-06-02 14:30,https://gs.xmu.edu.cn/info/1220/8172.htm
2951,基于数据驱动的铰接转向工程车辆侧翻预测模型研究,陈轩伟(硕士),机械工程(专业学位),祝青园,2020-06-02 14:30,https://gs.xmu.edu.cn/info/1220/8171.htm
2952,基于GD-ACO算法的柔性车间搬运机器人路径规划研究,张肖宇(硕士),车辆工程,祝青园,2020-06-02 14:30,https://gs.xmu.edu.cn/info/1220/8170.htm
2953,基于深度神经网络的锂电池组二维温度场稀疏重建方法研究,胡伟锋(硕士),精密仪器及机械,方正,2020-06-02 08:00,https://gs.xmu.edu.cn/info/1220/8189.htm
2954,一发多收主动式超低串扰超声导波系统设计与验证,杨梦娇(硕士),测试计量技术及仪器,薛文东,2020-06-02 08:00,https://gs.xmu.edu.cn/info/1220/8188.htm
2955,内部控制、代理成本和财务重述：基于方言多样性视角的分析,王海茸(博士),会计学,陈少华,2020-06-02 08:30,https://gs.xmu.edu.cn/info/1220/8187.htm
2956,装载机后桥摆动架分析测试与优化设计,崔战胜(硕士),机械工程(专业学位),侯亮,2020-06-02 09:00,https://gs.xmu.edu.cn/info/1220/8186.htm
2957,等重稳定同位素磷酰化标记蛋白质定量及其在HIV潜伏激活剂靶点鉴定中的应用,王晓宇(硕士),药物化学,方美娟,2020-06-02 09:00,https://gs.xmu.edu.cn/info/1220/8185.htm
2958,EAF2通过与AFF1/4竞争性结合ELL2而 抑制HIV-1基因转录活性,黄晴晴(硕士),药理学,薛玉花,2020-06-02 09:00,https://gs.xmu.edu.cn/info/1220/8184.htm
2959,基于SILAC质谱技术的HIV-1潜伏激活剂#6药物差异蛋白表达谱及转录调控机制研究,卿萍(硕士),药物分析学,高祥,2020-06-02 09:00,https://gs.xmu.edu.cn/info/1220/8183.htm
2960,考虑变转速工况的转子动平衡故障诊断方法,吴彬云(硕士),机械工程(专业学位),侯亮,2020-06-02 09:00,https://gs.xmu.edu.cn/info/1220/8182.htm
2961,银行高管延付薪酬的经济后果研究——基于风险与效率视角,王成龙(博士),会计学,于李胜,2020-06-02 10:00,https://gs.xmu.edu.cn/info/1220/8181.htm
2962,开关电容型虚拟同步机的关键技术研究,孙嘉清(硕士),仪器仪表工程(专业学位),何良宗,2020-06-02 12:00,https://gs.xmu.edu.cn/info/1220/8180.htm
2963,Pt、Rh 基亚稳态纳米晶的可控合成及其电催化性能的研究,曹振明(博士),物理化学,谢兆雄,2020-06-01 10:00,https://gs.xmu.edu.cn/info/1220/8199.htm
